RA,ANO,FASE,FASE_IDEAL,DEFASAGEM_FORNECIDA,INDE,PEDRA,IAN,IDA,IEG,IAA,IPS,IPP,IPV,NOTA_MATEMATICA,NOTA_PORTUGUES,NOTA_INGLES,INDICADO,ATINGIU_PV,TURMA,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,ANO_NASCIMENTO,DEFASAGEM_CALCULADA,IDADE_ANOS,ALVO_RISCO_DEFASAGEM_PROX_ANO
36,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,FEMININO,2019,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,18,0.0
36,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8E,FEMININO,2021,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,19,
37,2022,6.0,7.0,-1,4.95,QUARTZO,5.0,5.9,5.4,0.0,5.0,,5.222,2.3,5.3,10.0,NAO,NAO,A,FEMININO,2019,REDE DECISAO,2005,-1.0,17,
38,2022,6.0,7.0,-1,8.523,TOPAZIO,5.0,8.6,8.9,9.2,7.5,,9.833,9.0,7.0,9.7,NAO,SIM,A,FEMININO,2017,REDE DECISAO,2005,-1.0,17,0.0
38,2023,7.0,7.0,0,8.835333333,TOPAZIO,10.0,7.7,9.7,9.6,7.52,8.75,8.8825,8.2,8.8,6.0,,,7A,FEMININO,2017,PRIVADA PROGRAMA DE APADRINHAMENTO,2005,0.0,18,0.0
38,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8F,FEMININO,2021,PRIVADA PROGRAMA DE APADRINHAMENTO,2005,0.0,19,
39,2022,6.0,6.0,0,6.033,AGATA,10.0,6.9,4.8,0.0,6.9,,6.111,7.7,5.1,7.8,NAO,NAO,A,FEMININO,2017,REDE DECISAO,2006,0.0,16,0.0
39,2023,7.0,7.0,0,8.710333333,TOPAZIO,10.0,7.8,9.1,9.6,7.52,8.75,8.7575,8.3,7.8,7.2,,,7A,FEMININO,2017,PRIVADA PROGRAMA DE APADRINHAMENTO,2006,0.0,17,0.0
39,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8F,FEMININO,2021,PRIVADA PARCERIAS COM BOLSA 100,2006,0.0,18,
40,2022,5.0,6.0,-1,7.203,AMETISTA,5.0,6.8,7.8,7.9,7.5,,7.75,4.7,7.3,8.4,NAO,NAO,A,FEMININO,2016,REDE DECISAO,2006,-1.0,16,1.0
40,2023,6.0,7.0,-1,7.169975,AMETISTA,5.0,5.9,8.2,7.5,7.52,7.96875,7.755,6.2,5.7,5.8,,,6A,FEMININO,2016,PRIVADA PROGRAMA DE APADRINHAMENTO,2006,-1.0,17,0.0
40,2024,7.0,7.0,0,7.098051462066667,AMETISTA,10.0,5.333333333333333,7.211257310000001,7.083,8.13,8.125,6.276666667,3.5,6.0,6.5,,,7A,FEMININO,2021,PRIVADA PROGRAMA DE APADRINHAMENTO,2006,0.0,18,
41,2022,5.0,7.0,-2,5.581,QUARTZO,5.0,5.6,6.1,9.2,5.0,,4.375,6.3,2.5,8.0,NAO,NAO,A,MASCULINO,2018,ESCOLA PUBLICA,2005,-2.0,17,
42,2022,5.0,5.0,0,6.72,AGATA,10.0,4.8,7.9,8.3,5.6,,6.083,3.7,4.5,6.2,NAO,NAO,A,MASCULINO,2019,REDE DECISAO,2007,0.0,15,1.0
42,2023,5.0,6.0,-1,6.794516667,AGATA,5.0,5.7,8.6,8.8,5.63,6.5625,6.6675,6.3,4.2,6.7,,,5A,MASCULINO,2019,PRIVADA PROGRAMA DE APADRINHAMENTO,2007,-1.0,16,1.0
42,2024,6.0,7.0,-1,7.656628769866667,AMETISTA,5.0,8.166666666666666,9.682539682666667,9.168,5.635,6.796875,7.134,9.0,7.5,8.0,,,6A,MASCULINO,2021,PUBLICA,2007,-1.0,17,
43,2022,5.0,6.0,-1,5.486,QUARTZO,5.0,4.3,6.5,6.3,5.6,,5.958,4.0,5.8,3.2,NAO,NAO,A,FEMININO,2019,ESCOLA PUBLICA,2006,-1.0,16,1.0
43,2023,6.0,7.0,-1,6.4622,AGATA,5.0,5.0,6.7,7.9,5.63,7.5,7.5875,4.0,5.0,6.0,,,6A,FEMININO,2019,PUBLICA,2006,-1.0,17,
44,2022,5.0,7.0,-2,5.542,QUARTZO,5.0,3.0,5.9,5.0,7.5,,7.292,2.3,3.5,3.2,SIM,NAO,A,FEMININO,2021,ESCOLA PUBLICA,2005,-2.0,17,1.0
44,2023,6.0,8.0,-2,6.258333333,AGATA,5.0,6.9,8.5,0.0,5.01,7.5,7.17,7.3,5.8,7.5,,,6A,FEMININO,2021,PUBLICA,2005,-2.0,18,
45,2022,5.0,5.0,0,7.591,AMETISTA,10.0,6.8,8.9,7.9,5.6,,7.417,6.3,5.2,8.8,NAO,NAO,A,FEMININO,2019,REDE DECISAO,2007,0.0,15,0.0
45,2023,6.0,6.0,0,8.303591667,TOPAZIO,10.0,7.9,9.6,7.1,6.26,8.28125,8.1725,7.8,6.3,9.7,,,6A,FEMININO,2019,PRIVADA PROGRAMA DE APADRINHAMENTO,2007,0.0,16,0.0
45,2024,7.0,7.0,0,8.743476190400001,TOPAZIO,10.0,8.0,9.619047619,7.5,9.38,8.75,8.283333333,7.5,7.0,9.5,,,7A,FEMININO,2021,PRIVADA PROGRAMA DE APADRINHAMENTO,2007,0.0,17,
46,2022,5.0,7.0,-2,6.048,AGATA,5.0,2.1,8.4,8.8,6.3,,7.083,2.8,2.8,0.7,NAO,NAO,A,FEMININO,2022,ESCOLA PUBLICA,2005,-2.0,17,1.0
46,2023,5.0,8.0,-3,5.545383333,QUARTZO,2.5,4.4,7.4,7.1,2.52,6.5625,6.6275,2.8,3.0,7.3,,,5A,FEMININO,2022,PUBLICA,2005,-3.0,18,
47,2022,5.0,7.0,-2,5.677,QUARTZO,5.0,2.1,6.3,7.9,7.5,,7.042,2.5,2.2,1.5,NAO,NAO,A,FEMININO,2022,ESCOLA PUBLICA,2005,-2.0,17,
48,2022,5.0,5.0,0,8.006,AMETISTA,10.0,8.1,8.4,6.7,7.5,,8.5,6.7,8.0,9.5,NAO,SIM,A,FEMININO,2017,REDE DECISAO,2007,0.0,15,0.0
48,2023,6.0,6.0,0,7.797058333,AMETISTA,10.0,7.7,8.4,6.7,6.26,7.65625,7.6275,8.3,5.7,9.0,,,6A,FEMININO,2017,PRIVADA PROGRAMA DE APADRINHAMENTO,2007,0.0,16,0.0
48,2024,7.0,7.0,0,8.402390371800001,TOPAZIO,10.0,7.5,8.339076859,7.917,9.375,8.59375,8.23,6.5,6.0,10.0,,,7A,FEMININO,2021,PRIVADA PROGRAMA DE APADRINHAMENTO,2007,0.0,17,
49,2022,5.0,7.0,-2,6.304,AGATA,5.0,3.9,7.4,7.5,7.5,,7.042,1.5,4.2,6.2,NAO,NAO,A,FEMININO,2022,ESCOLA PUBLICA,2005,-2.0,17,0.0
49,2023,8.0,8.0,0,,,10.0,,,,,,,,,,,,8E,FEMININO,2022,PRIVADA PARCERIAS COM BOLSA 100,2005,0.0,18,0.0
49,2024,8.0,8.0,0,,,10.0,,0.0,,,,,,,,,,8E,FEMININO,2022,PRIVADA PAGAMENTO POR EMPRESA PARCEIRA,2005,0.0,19,
50,2022,5.0,8.0,-3,7.138,AMETISTA,2.5,7.8,8.4,7.5,7.5,,7.542,6.5,7.3,9.7,NAO,NAO,A,FEMININO,2022,ESCOLA PUBLICA,2004,-3.0,18,
51,2022,5.0,7.0,-2,6.488,AGATA,5.0,5.0,7.6,8.8,7.5,,6.5,4.5,4.5,6.0,NAO,NAO,B,FEMININO,2022,ESCOLA PUBLICA,2005,-2.0,17,
52,2022,5.0,3.0,2,7.861,AMETISTA,10.0,6.2,8.9,9.6,7.5,,7.5,3.3,6.3,8.8,NAO,NAO,B,MASCULINO,2018,REDE DECISAO,2009,2.0,13,0.0
